temperature,temperatureUnit,windDirection,shortForecast
40,F,NW,Mostly Clear
38,F,NW,Mostly Clear
36,F,NW,Mostly Clear
34,F,NW,Partly Cloudy
33,F,NW,Partly Cloudy
33,F,NW,Mostly Cloudy
32,F,NW,Mostly Cloudy
31,F,W,Mostly Cloudy
31,F,W,Mostly Cloudy
30,F,W,Partly Cloudy
29,F,W,Partly Cloudy
29,F,W,Mostly Clear
28,F,W,Sunny
27,F,W,Mostly Sunny
29,F,W,Mostly Cloudy
34,F,W,Mostly Cloudy
36,F,W,Mostly Cloudy
39,F,W,Mostly Sunny
41,F,W,Sunny
43,F,W,Sunny
43,F,W,Sunny
45,F,W,Mostly Sunny
44,F,W,Sunny
42,F,W,Sunny
39,F,W,Clear
38,F,W,Partly Cloudy
37,F,SW,Partly Cloudy
36,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
33,F,SW,Mostly Cloudy
33,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
34,F,SW,Mostly Cloudy
35,F,SW,Mostly Cloudy
35,F,SW,Mostly Cloudy
36,F,SW,Partly Sunny
37,F,SW,Partly Sunny
39,F,SW,Mostly Sunny
42,F,SW,Sunny
46,F,SW,Sunny
49,F,SW,Sunny
53,F,SW,Sunny
55,F,SW,Mostly Sunny
57,F,W,Mostly Sunny
57,F,W,Sunny
56,F,W,Sunny
54,F,W,Sunny
52,F,W,Partly Cloudy
49,F,W,Partly Cloudy
47,F,W,Partly Cloudy
46,F,W,Partly Cloudy
45,F,W,Partly Cloudy
44,F,W,Partly Cloudy
43,F,W,Partly Cloudy
42,F,W,Partly Cloudy
41,F,W,Partly Cloudy
41,F,W,Partly Cloudy
40,F,W,Partly Cloudy
39,F,W,Partly Cloudy
38,F,W,Mostly Sunny
38,F,W,Sunny
40,F,W,Sunny
43,F,W,Sunny
47,F,W,Sunny
49,F,W,Sunny
51,F,W,Sunny
53,F,W,Sunny
54,F,W,Sunny
54,F,NW,Sunny
53,F,NW,Sunny
51,F,NW,Sunny
49,F,NW,Mostly Clear
47,F,NW,Mostly Clear
45,F,NW,Mostly Clear
44,F,NW,Mostly Clear
43,F,NW,Mostly Clear
42,F,NW,Mostly Clear
41,F,W,Mostly Clear
40,F,W,Mostly Clear
39,F,W,Mostly Clear
38,F,W,Mostly Clear
37,F,W,Partly Cloudy
36,F,W,Partly Cloudy
35,F,W,Mostly Sunny
36,F,W,Mostly Sunny
39,F,W,Mostly Sunny
44,F,W,Mostly Sunny
49,F,W,Mostly Sunny
52,F,W,Mostly Sunny
55,F,W,Mostly Sunny
56,F,W,Mostly Sunny
57,F,W,Mostly Sunny
57,F,W,Mostly Sunny
56,F,W,Mostly Sunny
55,F,W,Mostly Sunny
52,F,W,Partly Cloudy
50,F,W,Partly Cloudy
48,F,NW,Partly Cloudy
47,F,NW,Partly Cloudy
46,F,NW,Partly Cloudy
45,F,N,Partly Cloudy
44,F,N,Partly Cloudy
43,F,N,Partly Cloudy
42,F,N,Partly Cloudy
42,F,N,Partly Cloudy
41,F,N,Partly Cloudy
40,F,N,Partly Cloudy
39,F,N,Mostly Sunny
39,F,N,Mostly Sunny
41,F,N,Mostly Sunny
45,F,N,Mostly Sunny
48,F,N,Mostly Sunny
51,F,N,Mostly Sunny
53,F,N,Mostly Sunny
54,F,N,Mostly Sunny
55,F,N,Mostly Sunny
55,F,N,Mostly Sunny
54,F,N,Mostly Sunny
52,F,N,Mostly Sunny
49,F,NE,Partly Cloudy
47,F,E,Mostly Cloudy
46,F,E,Mostly Cloudy
45,F,E,Mostly Cloudy
44,F,E,Mostly Cloudy
43,F,SE,Mostly Cloudy
43,F,SE,Mostly Cloudy
43,F,SE,Mostly Cloudy
42,F,S,Mostly Cloudy
42,F,S,Mostly Cloudy
41,F,S,Mostly Cloudy
41,F,S,Mostly Cloudy
41,F,S,Partly Sunny
42,F,S,Partly Sunny
44,F,S,Partly Sunny
47,F,S,Partly Sunny
51,F,S,Partly Sunny
54,F,S,Partly Sunny
58,F,SW,Partly Sunny
60,F,SW,Slight Chance Light Rain
61,F,S,Slight Chance Light Rain
61,F,S,Slight Chance Light Rain
61,F,S,Slight Chance Light Rain
59,F,S,Slight Chance Light Rain
58,F,S,Slight Chance Light Rain
56,F,S,Chance Light Rain
55,F,S,Chance Light Rain
54,F,SW,Chance Light Rain
53,F,SW,Chance Light Rain
53,F,SW,Chance Light Rain
52,F,SW,Chance Light Rain
52,F,SW,Chance Light Rain
51,F,SW,Chance Light Rain
51,F,W,Chance Light Rain
50,F,W,Chance Light Rain
49,F,W,Chance Light Rain
